datasetkey	datasetname	publisher	COUNT(*)
e44ff4bb-9f72-43d6-b66d-66d00c969380	Birds (coll. Bonnetain)	Musée des Confluences	2
868ad223-8e90-45e7-ba2c-c69751663ab1		Musée Zoologique de la Ville de Strasbourg	2
1e28ee35-6fd8-4b6d-b7cf-6b01272c212f		Instituto Tecnológico Metropolitano	2
652ac1af-3907-4fd3-a509-2151a00bccc2	eDNA from water column to characterise fish and invertebrate communities from 30 sites in the Belgian Part of the North Sea -COI	Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	2
956bc674-6022-4c52-833e-c5fb39dc837a	Löydös Open Finnish Observation Database	Finnish Biodiversity Information Facility	2
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Calcaire de Mons	Paleobiology Database	2
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Kallo, Cultellus bed	Paleobiology Database	2
cb6e66f1-3056-404d-a341-bb856762c57c		PlutoF	2
d70c169f-fd9e-4355-8431-8d1fba91370f	Inventories efor-ersa	National Museum of Natural History, Luxembourg	2
84c58b60-f762-11e1-a439-00145eb45e9a		Center for Macroecology, Evolution and Climate, University of Copenhagen	2
e5c5cad9-b987-4bb4-b07b-85488c5fdd80	Natural History Museum DenmarkOrnithology Collection	Natural History Museum of Denmark	2
b848583a-a47b-4d09-a58b-46d3236b3d10		Université Libre de Bruxelles (ULB)	2
2bf7b2c0-34dc-4458-8ee4-4f99fac03b33	BioDiversity4All Research-grade Observations	BioDiversity4All	2
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Poudingue de Ciply	Paleobiology Database	2
a1c9d4d7-aeda-46b6-a368-974b86d4f37c	Cartographie des biotopes	National Museum of Natural History, Luxembourg	2
73a7ba69-d4f9-4df8-aab5-67e9183c2e16		Museum George Sand et de la Vallee Noire	2
c9198eaf-f909-4502-9bcd-4e83452fb245	Kammmolch Monitoring	National Museum of Natural History, Luxembourg	2
962f59bc-f762-11e1-a439-00145eb45e9a	Biodiv Monitoring Artenlisten	National Museum of Natural History, Luxembourg	2
962f59bc-f762-11e1-a439-00145eb45e9a	Zoological collections of the MnhnL (divers)	National Museum of Natural History, Luxembourg	2
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Kallo, Atrina Beds	Paleobiology Database	2
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Rupelmonde	Paleobiology Database	2
87ed95eb-4ead-465e-9c3a-7d9e9be4035d		Swedish Museum of Natural History	2
ae394984-e8f8-401b-a7c9-c87d29677963		Ukrainian Nature Conservation Group (NGO)	2
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Tielrode deposit	Paleobiology Database	1
5d49ce2c-9257-40c8-8f69-26979452646d	ZMUO Common vertebrate collection	University of Oulu - Biodiversity Unit	1
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Anvers	Paleobiology Database	1
bb5b30b4-827e-4d5e-a86a-825d65cb6583	CBR-Romontbos quarry (Eben Emael), Lava Horizon	Paleobiology Database	1
bb5b30b4-827e-4d5e-a86a-825d65cb6583	CBR-Romontbos Quarry (Base of Valkenburg Mbr.)	Paleobiology Database	1
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Ankerpoort-Marnebel quarry (Emael Mb)	Paleobiology Database	1
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Maaseik Well (49W0220) - 285 m (Berada Fm)	Paleobiology Database	1
bb5b30b4-827e-4d5e-a86a-825d65cb6583	Oedelem Sands (Sables d'Oedelem) - Bruxellian Formation	Paleobiology Database	1
71d58564-f762-11e1-a439-00145eb45e9a	Museu de Ciències Naturals de Barcelona: MCNB-Cord	Museu de Ciències Naturals de Barcelona	1
